"Relative Time (Process)","env.ppo.num_actors: 16384 - _step","env.ppo.num_actors: 16384 - _step__MIN","env.ppo.num_actors: 16384 - _step__MAX","env.ppo.num_actors: 16384 - rewards/time","env.ppo.num_actors: 16384 - rewards/time__MIN","env.ppo.num_actors: 16384 - rewards/time__MAX","env.ppo.num_actors: 8192 - _step","env.ppo.num_actors: 8192 - _step__MIN","env.ppo.num_actors: 8192 - _step__MAX","env.ppo.num_actors: 8192 - rewards/time","env.ppo.num_actors: 8192 - rewards/time__MIN","env.ppo.num_actors: 8192 - rewards/time__MAX","env.ppo.num_actors: 4096 - _step","env.ppo.num_actors: 4096 - _step__MIN","env.ppo.num_actors: 4096 - _step__MAX","env.ppo.num_actors: 4096 - rewards/time","env.ppo.num_actors: 4096 - rewards/time__MIN","env.ppo.num_actors: 4096 - rewards/time__MAX","env.ppo.num_actors: 2048 - _step","env.ppo.num_actors: 2048 - _step__MIN","env.ppo.num_actors: 2048 - _step__MAX","env.ppo.num_actors: 2048 - rewards/time","env.ppo.num_actors: 2048 - rewards/time__MIN","env.ppo.num_actors: 2048 - rewards/time__MAX","env.ppo.num_actors: 128 - _step","env.ppo.num_actors: 128 - _step__MIN","env.ppo.num_actors: 128 - _step__MAX","env.ppo.num_actors: 128 - rewards/time","env.ppo.num_actors: 128 - rewards/time__MIN","env.ppo.num_actors: 128 - rewards/time__MAX","env.ppo.num_actors: 1024 - _step","env.ppo.num_actors: 1024 - _step__MIN","env.ppo.num_actors: 1024 - _step__MAX","env.ppo.num_actors: 1024 - rewards/time","env.ppo.num_actors: 1024 - rewards/time__MIN","env.ppo.num_actors: 1024 - rewards/time__MAX","env.ppo.num_actors: 512 - _step","env.ppo.num_actors: 512 - _step__MIN","env.ppo.num_actors: 512 - _step__MAX","env.ppo.num_actors: 512 - rewards/time","env.ppo.num_actors: 512 - rewards/time__MIN","env.ppo.num_actors: 512 - rewards/time__MAX","env.ppo.num_actors: 256 - _step","env.ppo.num_actors: 256 - _step__MIN","env.ppo.num_actors: 256 - _step__MAX","env.ppo.num_actors: 256 - rewards/time","env.ppo.num_actors: 256 - rewards/time__MIN","env.ppo.num_actors: 256 - rewards/time__MAX","env.ppo.num_actors: 64 - _step","env.ppo.num_actors: 64 - _step__MIN","env.ppo.num_actors: 64 - _step__MAX","env.ppo.num_actors: 64 - rewards/time","env.ppo.num_actors: 64 - rewards/time__MIN","env.ppo.num_actors: 64 - rewards/time__MAX"
"22","","","","","","","","","","","","","","","","","","","","","","","","","24.75","19","28","271.39001846313477","218.50267028808594","339.38897705078125","2.5","2","3","76.56021118164062","65.81563568115234","87.3047866821289","10.4","8","12","189.43695373535155","149.00180053710938","214.5835723876953","14.375","12","16","204.2863655090332","189.072509765625","229.82142639160156","30.333333333333332","25","34","241.07649400499133","207.45620727539062","296.07476806640625"
"23","","","","","","","","","","","","","","","","","","","","","","","","","27.4","21","31","281.4049774169922","231.2278289794922","350.5933837890625","3","1","5","81.09434223175049","32.80960464477539","122.33601379394531","11.714285714285714","9","14","200.3109087262835","158.56800842285156","238.92120361328125","16.833333333333332","15","18","229.57667795817056","219.6061248779297","245.83511352539062","33.45454545454545","28","37","264.0246054909446","226.1566925048828","320.94573974609375"
"24","","","","","","","","","","","","","","","","","","","","","","","","","30.333333333333332","24","34","319.57805887858075","249.0147247314453","383.90447998046875","4.2","1","7","97.37257461547851","33.023555755615234","131.82647705078125","14.166666666666666","12","16","228.77739461263022","186.82827758789062","252.67323303222656","18.833333333333332","17","20","256.9004262288411","233.92738342285156","296.5340576171875","37.4","32","41","337.6443328857422","269.02606201171875","378.6975402832031"
"25","","","","","","","","","","","","","","","","","","","","","","","","","33.333333333333336","27","37","395.38348388671875","267.03717041015625","507.1844787597656","5","2","8","113.72891489664714","71.64656829833984","150.03350830078125","16.428571428571427","14","18","255.42484174455916","212.6897735595703","282.8329162597656","21.125","19","23","282.6476707458496","237.31613159179688","331.9601135253906","40.7","35","44","396.5591613769531","328.60772705078125","468.7721252441406"
"26","","","","","","","","","","","","","","","","","","","","","","","","","36.42857142857143","30","40","495.6158665248326","286.30230712890625","653.9175415039062","6.5","3","10","139.29817581176758","94.24349212646484","184.22525024414062","18.857142857142858","16","21","282.289786202567","234.19183349609375","315.892333984375","23.5","22","25","302.7549082438151","246.1453857421875","361.2201232910156","43.81818181818182","38","48","444.4678483442827","387.0318298339844","528.8925170898438"
"27","","","","","","","","","","","","","","","","","","","","","","","","","38.666666666666664","32","43","538.9076334635416","305.6071472167969","739.3604736328125","8.4","5","12","165.57484436035156","127.07801818847656","205.45118713378906","20.833333333333332","18","23","303.9381103515625","261.8421936035156","333.92059326171875","25.714285714285715","24","27","327.7931213378906","279.8787841796875","377.9158630371094","47.7","42","51","500.90566101074216","446.46710205078125","556.26025390625"
"28","","","","","","","","","","","","","","","","","","","","","","","","","41.25","35","46","583.065013885498","331.9742126464844","765.6809692382812","10.166666666666666","7","14","191.13141886393228","152.89064025878906","234.1561279296875","22.714285714285715","20","25","324.1995064871652","282.97998046875","374.1206970214844","28.142857142857142","26","30","358.96805681501115","303.9701232910156","410.19720458984375","51.45454545454545","45","55","544.149169921875","484.7071838378906","583.6116333007812"
"29","","","","","","","","","","","","","","","","","","","","","","","","","44.875","38","49","653.6487579345703","393.9731140136719","762.0696411132812","12.166666666666666","9","16","216.64061482747397","170.48391723632812","255.20553588867188","25.428571428571427","23","27","374.127450125558","316.6585693359375","466.3551025390625","30.142857142857142","28","32","393.97605678013394","345.4459228515625","439.24951171875","54.333333333333336","48","58","581.9955647786459","538.7407836914062","634.1473388671875"
"30","","","","","","","","","","","","","","","","","","","","","","","","","46.625","40","52","669.5541496276855","468.3105773925781","776.9954223632812","14.166666666666666","11","18","246.60584513346353","192.5998992919922","281.6271667480469","27.857142857142858","25","30","400.93262154715404","339.4950256347656","503.59796142578125","32.5","31","34","431.80945841471356","375.77642822265625","479.5466003417969","57.833333333333336","51","62","606.3161163330078","577.3538818359375","652.4517211914062"
"31","","","","","","","","","","","","","","","","","","","","","","","","","49.666666666666664","43","55","738.8339165581597","635.8646850585938","794.8748779296875","16.166666666666668","13","20","270.71152750651044","227.5056610107422","304.63018798828125","29.833333333333332","27","32","453.7223205566406","384.37030029296875","551.5961303710938","34.857142857142854","33","37","500.7186933244978","407.8253173828125","628.799072265625","61.333333333333336","55","65","625.9490356445312","584.57861328125","679.544677734375"
"32","","","","","","","","","","","","","","","","","","","","","","","","","52.375","46","58","791.7837219238281","710.47998046875","843.3381958007812","18.166666666666668","15","22","290.39019266764325","254.45278930664062","351.10467529296875","32","29","34","551.5942420959473","420.7689208984375","699.6569213867188","36.857142857142854","35","39","648.1334228515625","475.9937744140625","776.02490234375","64.8","58","69","642.3627685546875","596.2947998046875","718.572509765625"
"33","","","","","","","","","","","","","","","","","","","1","1","1","34.5624885559082","34.5624885559082","34.5624885559082","56.55555555555556","49","62","831.2731187608507","794.24560546875","889.9963989257812","20.166666666666668","17","24","319.260991414388","258.2193603515625","415.57708740234375","34.5","32","36","728.7432250976562","480.4518127441406","968.5435180664062","39.285714285714285","38","41","757.4795009068081","610.3169555664062","864.2571411132812","67.72727272727273","61","72","692.4286499023438","648.3236694335938","753.8173217773438"
"34","","","","","","","","","","","","","","","","","","","2.5","2","3","75.44547653198242","68.46488952636719","82.42606353759766","58.333333333333336","51","65","844.8280504014757","802.6787109375","894.6241455078125","22.166666666666668","19","26","340.04725646972656","263.07586669921875","463.1587829589844","36.42857142857143","34","38","866.3848397391183","484.80218505859375","1184.230712890625","41.5","40","43","861.4541829427084","823.1627197265625","929.5642700195312","71.8","65","76","727.3870727539063","666.6411743164062","774.2958374023438"
"35","","","","","","","","","","","","","","","","","","","3","1","5","76.76916790008545","32.06070327758789","107.20170593261719","61.125","54","68","863.7305679321289","812.0374755859375","924.1932373046875","24.166666666666668","21","28","371.0617167154948","274.0879211425781","531.5668334960938","39.142857142857146","37","41","1091.7396501813616","630.3741455078125","1269.2879638671875","43.875","42","46","907.3630676269531","835.0807495117188","992.9216918945312","74.3","68","79","747.9779907226563","670.21240234375","840.4521484375"
"36","","","","","","","","","","","","","","","","","","","5","3","7","109.96782875061035","94.33626556396484","124.42182159423828","64","57","71","910.0319010416666","825.97802734375","1015.5094604492188","26","23","30","374.30811854771207","270.97906494140625","575.3084106445312","41.42857142857143","39","43","1178.0193917410713","883.8291015625","1291.020263671875","46.166666666666664","45","48","939.4880981445312","846.9028930664062","1037.7615966796875","78.5","72","83","798.7784973144531","691.0636596679688","897.6775512695312"
"37","","","","","","","","","","","","","","","","","","","5.8","1","9","118.62504196166992","35.05184555053711","153.62989807128906","66.875","60","74","951.6052093505859","846.4349975585938","1091.2398681640625","28.5","26","32","409.9341176350911","280.3132629394531","619.476318359375","43.5","41","45","1239.7196451822917","1140.826904296875","1297.4420166015625","48.166666666666664","47","50","937.9304707845052","823.4213256835938","1040.427734375","81","75","86","833.7947540283203","759.693115234375","916.7213134765625"
"38","","","","","","","","","","","","","","","","","","","6.833333333333333","2","11","137.96025975545248","67.09074401855469","184.3747100830078","70.25","63","77","1000.6753463745117","866.3483276367188","1121.8631591796875","30.5","28","34","423.34166463216144","287.6495056152344","644.586181640625","45.5","43","47","1267.3104858398438","1229.7725830078125","1300.3353271484375","50.666666666666664","49","53","959.8962605794271","800.6790161132812","1102.1480712890625","84.27272727272727","78","90","866.7597045898438","814.9708251953125","941.7427978515625"
"39","","","","","","","","","","","","","","","","","","","7.5","4","12","150.38159561157227","100.68573760986328","211.6594696044922","72.33333333333333","65","80","1001.0593939887153","880.9365234375","1136.33056640625","32.5","30","36","469.38478088378906","294.7682189941406","789.7569580078125","47.75","45","50","1257.1424560546875","1181.20947265625","1314.1151123046875","53.166666666666664","52","55","983.3082478841146","800.6790161132812","1129.291259765625","87.66666666666667","82","93","900.7826334635416","853.2492065429688","948.6340942382812"
"40","","","","","","","","","","","","","","","","","","","10.166666666666666","6","14","185.89741897583008","118.3193588256836","227.09274291992188","75.33333333333333","68","83","1035.3577406141494","929.8585205078125","1169.8546142578125","34.42857142857143","32","38","658.0827157156808","388.53997802734375","1067.8955078125","50.42857142857143","48","52","1260.0511474609375","1172.7200927734375","1309.0272216796875","55.57142857142857","54","58","976.2101353236607","798.8970947265625","1161.609130859375","90.9","85","97","924.0797119140625","901.8285522460938","947.6476440429688"
"41","","","","","","","","","","","","","","","","","","","12.75","8","16","215.56213760375977","144.4542694091797","246.0123748779297","78.33333333333333","71","86","1066.6441514756943","970.1796875","1178.4742431640625","36.833333333333336","35","40","1053.062479654948","774.9840698242188","1213.4991455078125","52.5","50","54","1260.5348714192708","1167.859375","1329.4715576171875","57.57142857142857","56","60","1050.7731759207588","830.7076416015625","1189.45166015625","94","89","100","936.4619411892361","912.431396484375","958.1311645507812"
"42","","","","","","","","","","","","","","","","","","","13.5","9","18","225.0748723347982","144.07046508789062","269.51580810546875","81.33333333333333","74","89","1095.5206027560764","1018.34130859375","1186.47607421875","38.833333333333336","37","42","1263.51220703125","1143.338623046875","1385.6630859375","54.5","52","56","1265.55126953125","1182.156494140625","1339.7293701171875","59.833333333333336","58","62","1061.2637736002605","875.4677124023438","1201.7471923828125","96.8","92","103","965.088330078125","938.0062255859375","987.4801635742188"
"43","","","","","","","","","","","","","","","","","","","15.5","11","20","244.37210337320963","178.6588897705078","281.3993835449219","85.88888888888889","77","93","1129.913058810764","1053.3819580078125","1188.939697265625","40.833333333333336","39","44","1315.70654296875","1243.2608642578125","1363.10009765625","57","54","59","1267.3730875651042","1178.8743896484375","1349.6790771484375","61.833333333333336","60","64","1092.1470133463542","951.5148315429688","1210.1434326171875","99.77777777777777","96","105","990.0459187825521","971.0751953125","1017.0296020507812"
"44","","","","","","","","","","","","","","","","","","","17.5","13","22","252.57577260335287","201.30245971679688","285.87762451171875","87.33333333333333","79","96","1151.8634575737847","1086.6400146484375","1207.6580810546875","42.833333333333336","41","46","1327.8789469401042","1236.072998046875","1397.935791015625","59.5","57","61","1261.6842041015625","1190.9638671875","1309.539306640625","64.33333333333333","62","67","1124.3960571289062","1002.2511596679688","1233.0067138671875","103.2","99","108","1008.3536376953125","983.7907104492188","1073.0296630859375"
"45","","","","","","","","","","","","","","","","","","","19.5","15","24","270.7806676228841","210.4188995361328","310.31610107421875","91.125","82","99","1179.0362548828125","1131.6610107421875","1245.42236328125","44.833333333333336","43","48","1298.0553792317708","1244.2764892578125","1377.970703125","61.5","59","63","1276.3130900065105","1213.095947265625","1323.6849365234375","66.83333333333333","65","69","1164.4202880859375","1101.783447265625","1266.602294921875","106.8","103","111","1022.4839172363281","980.5626220703125","1108.145263671875"
"46","","","","","","","","","","","","","","","","","","","22.2","17","26","302.42687072753904","236.61485290527344","342.14202880859375","93","84","102","1210.5450710720486","1166.0164794921875","1320.184814453125","46.833333333333336","45","50","1259.440185546875","1215.5086669921875","1311.5587158203125","64","61","66","1319.0596381293403","1229.893310546875","1388.8902587890625","68.83333333333333","67","71","1201.3972778320312","1125.150390625","1299.718505859375","109.5","106","113","1033.039306640625","992.76123046875","1132.581298828125"
"47","","","","","","","","","","","","","","","","","","","23.166666666666668","18","28","332.0708872477214","255.28659057617188","413.9311218261719","96","87","105","1239.9070366753472","1166.753662109375","1371.090576171875","48.833333333333336","47","52","1231.3810221354167","1202.7813720703125","1279.6722412109375","66.5","64","68","1389.9148559570312","1229.7335205078125","1500.9315185546875","71.375","69","74","1247.5397491455078","1145.3094482421875","1332.6541748046875","112.81818181818181","109","116","1051.0076626864347","992.8753662109375","1162.248291015625"
"48","","","","","","","","","","","","","","","","","","","26","20","31","408.99759347098217","270.8441467285156","570.7577514648438","99","90","108","1237.8238118489583","1148.3021240234375","1390.571044921875","50.833333333333336","49","54","1243.2305094401042","1166.4544677734375","1364.5169677734375","68.5","66","70","1431.8740234375","1221.4012451171875","1568.529296875","73.5","71","76","1263.3074544270833","1192.1046142578125","1332.9287109375","116.33333333333333","113","119","1079.115227593316","991.7483520507812","1212.610107421875"
"49","","","","","","","","","","","","","","","","","","","27.5","22","33","513.0676116943359","303.580078125","676.7344970703125","102","93","111","1247.628445095486","1167.5084228515625","1393.2969970703125","52.857142857142854","51","56","1248.5256173270088","1186.166259765625","1378.2318115234375","70.42857142857143","68","72","1455.6293422154017","1250.4287109375","1621.485107421875","75.42857142857143","73","78","1272.4301060267858","1237.5906982421875","1349.8641357421875","119","116","121","1083.9038162231445","1013.3102416992188","1227.836669921875"
"50","","","","","","","","","","","","","","","","","","","29.5","24","35","618.4983113606771","334.5645751953125","949.2178955078125","105","96","114","1269.2793918185764","1188.5267333984375","1390.954833984375","55.166666666666664","53","58","1270.866190592448","1200.2747802734375","1401.2445068359375","72.83333333333333","71","74","1527.8881022135417","1372.2845458984375","1614.5992431640625","78","76","80","1286.483851841518","1237.713623046875","1330.048828125","122.5","119","125","1102.5958353678386","1023.9653930664062","1227.836669921875"
"51","","","","","","","","","","","","","","","","","","","31.5","26","37","769.4664560953776","343.6078796386719","1248.31787109375","108.875","99","117","1286.891357421875","1196.6884765625","1376.3250732421875","57.714285714285715","55","61","1290.3104422433037","1158.2137451171875","1445.402099609375","75.14285714285714","73","77","1542.8777378627233","1455.427490234375","1623.0594482421875","80.57142857142857","78","83","1271.3085414341517","1210.8038330078125","1331.763427734375","126","123","128","1099.026584201389","1028.7235107421875","1219.2398681640625"
"52","","","","","","","","","","","","","","","","","","","33.5","28","39","882.5810139973959","358.5920715332031","1305.5078125","110.66666666666667","101","120","1295.0968288845486","1215.400390625","1391.525634765625","59.5","57","63","1246.3640543619792","1113.9288330078125","1415.2276611328125","77.42857142857143","75","79","1556.6208321707588","1496.9874267578125","1631.2994384765625","82.8","80","85","1290.2618896484375","1224.4312744140625","1356.721435546875","129.27272727272728","126","132","1089.7111927379262","1029.81494140625","1209.61572265625"
"53","","","","","","","","","","","","","","","","","","","35.5","30","41","996.1497090657552","374.5035705566406","1361.6322021484375","113.66666666666667","104","123","1316.0480414496528","1257.6651611328125","1396.763916015625","61.42857142857143","59","65","1213.9153355189733","1081.5626220703125","1414.1368408203125","79.42857142857143","77","81","1528.444789341518","1473.321044921875","1599.669921875","84.16666666666667","81","87","1275.2109985351562","1230.1976318359375","1358.02978515625","132.9","130","135","1126.3208129882812","1028.77587890625","1257.825927734375"
"54","","","","","","","","","","","","","","","","","","","37.5","32","43","1090.4846089680989","552.2538452148438","1419.70947265625","117.7","107","127","1334.2069091796875","1279.8953857421875","1409.94189453125","63.833333333333336","62","67","1247.157491048177","1100.8192138671875","1418.6688232421875","81.83333333333333","80","83","1524.066385904948","1432.1766357421875","1610.45361328125","86.875","83","90","1304.43017578125","1238.34619140625","1388.064453125","136","133","138","1131.7889268663193","1027.371337890625","1317.0618896484375"
"55","","","","","","","","","","","","","1","1","1","36.63019561767578","36.63019561767578","36.63019561767578","39.5","34","45","1208.3736775716145","854.311767578125","1451.5906982421875","120","110","130","1354.1663411458333","1307.8524169921875","1441.3756103515625","65.83333333333333","64","69","1334.0350545247395","1164.434326171875","1539.5679931640625","84.375","82","86","1529.3275604248047","1417.908447265625","1598.4407958984375","88.83333333333333","85","92","1323.2438557942708","1258.18212890625","1375.550537109375","139.5","136","142","1149.5083821614583","1015.85107421875","1391.0010986328125"
"56","","","","","","","","","","","","","1.8","1","3","59.944070434570314","36.76482391357422","84.5849380493164","41.5","36","47","1283.775390625","1129.2283935546875","1472.04638671875","123","113","133","1380.7732340494792","1329.192626953125","1458.297119140625","67.83333333333333","66","71","1534.0442911783855","1340.4310302734375","1695.236083984375","86.5","84","88","1522.720479329427","1393.009765625","1600.4525146484375","90.875","87","94","1348.0335693359375","1263.365478515625","1460.041259765625","143","140","145","1160.6698133680557","1020.99755859375","1421.4039306640625"
"57","","","","","","","","","","","","","3.5","2","5","96.70910135904948","71.44725799560547","118.82015228271484","43.5","38","49","1279.0398763020833","1083.458984375","1462.727783203125","126","116","136","1409.8363308376736","1366.7869873046875","1505.263671875","69.83333333333333","68","73","1706.8490397135417","1631.367431640625","1800.043212890625","88.42857142857143","86","90","1515.1324288504463","1374.013427734375","1625.4332275390625","94","90","97","1404.1322370256696","1277.2705078125","1534.3204345703125","146.5","143","149","1158.9390513102214","1009.9701538085938","1421.7176513671875"
"58","","","","","","","","","","","","","5","4","6","115.77160263061523","102.68170928955078","129.86557006835938","45.5","40","51","1265.7040608723958","1069.382080078125","1431.4388427734375","129","119","139","1425.2911376953125","1362.037841796875","1503.8450927734375","71.83333333333333","70","75","1782.1216227213542","1682.5008544921875","1882.812255859375","91.14285714285714","89","93","1566.1671840122767","1376.501220703125","1661.832763671875","95.83333333333333","92","99","1411.6648559570312","1281.2578125","1612.297119140625","150","147","152","1167.6367526584202","1010.93359375","1440.789306640625"
"59","","","","","","","","","","","","","6.833333333333333","6","8","137.31687927246094","114.63739776611328","151.96707153320312","47.5","42","53","1267.9449869791667","1097.850341796875","1408.1005859375","132","122","142","1419.2296956380208","1376.7220458984375","1470.15185546875","74.42857142857143","72","78","1824.290980747768","1683.105224609375","1956.6614990234375","93.42857142857143","91","95","1588.7474888392858","1344.525634765625","1697.176025390625","98.14285714285714","94","101","1448.1200474330358","1290.400390625","1656.9190673828125","153.3","150","156","1202.7763977050781","1018.3639526367188","1446.1046142578125"
"60","","","","","","","","","","","","","8.833333333333334","8","10","169.71774291992188","135.7765350341797","198.8688507080078","49.5","44","55","1266.3008626302083","1194.5594482421875","1363.6663818359375","135.2","125","145","1433.4162841796874","1379.290771484375","1483.120849609375","76.4","74","80","1877.2709228515625","1705.5526123046875","2002.92724609375","95.5","93","97","1607.9026489257812","1340.7965087890625","1782.886962890625","100.16666666666667","96","103","1453.415303548177","1287.73828125","1662.74853515625","156.54545454545453","153","159","1149.9488303444602","1006.8482055664062","1441.4315185546875"
"61","","","","","","","","","","","","","10.833333333333334","10","12","203.74002838134766","164.54226684570312","226.51564025878906","51.5","46","57","1277.8753662109375","1204.65234375","1389.558349609375","138.33333333333334","128","148","1430.4910481770833","1383.6602783203125","1497.4329833984375","77.83333333333333","75","82","1924.5234985351562","1783.876708984375","2039.712158203125","97.42857142857143","95","99","1604.3634207589287","1294.08642578125","1922.0213623046875","102.375","98","106","1485.6827239990234","1296.17822265625","1741.914306640625","160.3","157","163","1218.1849853515625","1037.206298828125","1464.13330078125"
"62","","","","","","","","","","","","","12.5","12","13","226.25116729736328","210.05665588378906","239.16226196289062","53.5","48","59","1316.631123860677","1192.5994873046875","1491.080078125","141.33333333333334","131","151","1441.5006917317708","1395.72705078125","1514.6563720703125","79.83333333333333","77","84","1942.1810709635417","1851.12646484375","2025.5487060546875","100.14285714285714","98","102","1736.5137939453125","1341.7322998046875","1965.8099365234375","104.83333333333333","101","108","1515.0571899414062","1340.4266357421875","1758.0108642578125","163.83333333333334","160","167","1222.4007364908855","1052.240966796875","1515.3409423828125"
"63","","","","","","","","","","","","","13.75","13","14","254.20767211914062","236.57284545898438","278.6971130371094","55.5","50","61","1400.9796142578125","1277.999755859375","1635.1796875","145.4","134","155","1461.9061645507813","1402.6903076171875","1565.4716796875","81.83333333333333","79","86","1967.5201212565105","1875.36279296875","2033.0302734375","102.16666666666667","100","104","1765.59130859375","1381.2864990234375","1993.1563720703125","107.14285714285714","103","110","1523.3631940569196","1370.188232421875","1760.552734375","167.33333333333334","164","170","1237.9817030164932","1053.4083251953125","1574.8287353515625"
"64","","","","","","","","","","","","","15.4","15","16","265.3012756347656","250.62640380859375","294.17303466796875","57.5","52","63","1468.8611450195312","1335.5321044921875","1723.017578125","147.66666666666666","137","158","1498.4315863715278","1424.1573486328125","1591.842041015625","83","81","87","1969.651318359375","1896.8997802734375","2040.399658203125","104.42857142857143","102","106","1833.259730747768","1512.950927734375","2021.29833984375","109.71428571428571","105","113","1576.5574428013392","1381.4146728515625","1774.4012451171875","170.7","167","174","1288.4842407226563","1047.8013916015625","1622.9093017578125"
